Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
Honor Society,2022,1h 38min,TV-MA,"Comedy, Romance",6.5,Oran Zegman,"Angourie Rice, Gaten Matarazzo, Christopher Mintz-Plasse","Honor's sole focus is getting into Harvard. Willing to do whatever it takes, Honor concocts a plan to take down her top three competitors, until things take a turn when she unexpectedly falls for her biggest competition.",39371,98
Big George Foreman,2023,2h 9min,PG-13,"Biography, Drama, Sport",6.6,George Tillman Jr.,"Khris Davis, Jasmine Mathews, Sullivan Jones","Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit.",65146,129
Cha Cha Real Smooth,2022,1h 47min,R,"Comedy, Drama",7.3,Cooper Raiff,"Dakota Johnson, Evan Assante",A young man who works as a Bar Mitzvah party host strikes up a friendship with a mother and her autistic daughter.,75982,107
Never Forgotten,2022,Unknown,Not Rated,Thriller,7.6,Ty Gordon,"Robert Thomas Preston, Andrew John","Three best friends, Nick, a writer and a simple man, Donny, the charismatic, wealthy one, and Emile, the artist with a bleeding heart, still reside in the small town they grew up in. As their ten-year high school reunion approaches, a dark secret from the",23389,Unknown
The Eyes of Tammy Faye,2021,2h 6min,PG-13,"Biography, Drama, Romance",6.6,Michael Showalter,"Jessica Chastain, Andrew Garfield, Cherry Jones","An intimate look at the extraordinary rise, fall and redemption of televangelist Tammy Faye Bakker.",163753,126
Skin: A History of Nudity in the Movies,2020,2h 10min,Not Rated,"Documentary, History",6.7,Danny Wolf,"Warren Beatty, Elizabeth Berkley, Martine Beswick","The story chronicles nudity's evolution in cinema from silent era through #MeToo, examining moral shifts, gender dynamics, artistic intent vs. exploitation, and nudity's role in storytelling amid proliferation of compelling content.",179920,130
The Wonderful Story of Henry Sugar and Three More,2024,1h 28min,TV-PG,"Comedy, Drama, Fantasy",7.1,Wes Anderson,"Richard Ayoade, Benedict Cumberbatch, Ralph Fiennes",Four tales unfold in writer-director Wes Anderson's anthology of short films adapted from Roald Dahl's beloved stories.,31000,88
Ronaldinho: The Happiest Man in the World,2020,1h 30min,Not Rated,Documentary,8.7,Andrew Douglas,Ronaldinho Gaúcho,"The life of the iconic Brazilian soccer star, focusing on his time at Barcelona FC.",121,90
Tish,2023,1h 30min,Not Rated,Documentary,7.6,Paul Sng,"Maxine Peake, Shin-Fei Chen, Ella Murtha","A moving portrait of social documentary photographer and trailblazer Tish Murtha, who dedicated her life to documenting the lives of working-class communities in North East England.",197711,90
Footprints on Water,2023,Unknown,Not Rated,"Drama, Thriller",9.1,Nathalia Syam,"Adil Hussain, Nimisha Sajayan, Antonio Aakeel",An illegal immigrant father in the UK looks for his missing daughter while trying to avoid the police radar.,47,Unknown
Broken,2022,1h 20min,Not Rated,Drama,8,Anthony Penney,"Avaryana Rose, Payton Hubert, Arnold John Popa III",A teenage girl flees her home after enduring years of abuse from her deranged father.,135694,80
Tehachapi,2022,1h 32min,Not Rated,Documentary,7.9,JR,Unknown,"Photographer JR gains unprecedented access to a high-security US prison, giving inmates a voice through art. He creates a temporary courtyard photo collage visible from the sky while exploring stories of prisoners, guilt, and forgiveness.",100102,92
"Jump, Darling",2020,1h 30min,Not Rated,Drama,6.5,Phil Connell,"Cloris Leachman, Andrew Bushell, Sheldon McIntosh","A rookie drag queen reeling from a break-up escapes to the country, where he finds his grandmother in steep decline but desperate to avoid the local nursing home.",30000,90
Jungle Juice,2022,1h 30min,Not Rated,Drama,9,Curley The 5th,"Aaron Pierson, Tiffany Toney",A young man from Los Angeles struggles to reclaim his life after spending ten years in prison. The streets have changed and it's getting hard to tell the difference between friends and enemies.,47,90
A Christmas Sunset,2021,1h 30min,Not Rated,Drama,7.3,T.C. De Witt,"Cassandra James, Courtney Locks","Five friends get together for a holiday dinner two years after the friend that linked them all passed away. They discover he has left behind his journal, which challenges all their relationships over the course of one evening.",301752,90
Jack Has a Plan,2022,1h 13min,Not Rated,Documentary,7.7,Bradley Berman,"Adalia Cariño, Jennifer Cariño, Ralf Cariño","When Jack, a man with a terminal brain tumor for 25 years, decides to end his life, his family and friends struggle to accept his decision. Jack's best friend documents his three-year quest to die a happy man.",76947,73
High Tide,2024,1h 41min,R,"Drama, Romance",7.4,Marco Calvani,"Marco Pigossi, James Bland, Marisa Tomei","Heartbroken and adrift, undocumented Brazilian immigrant Lourenço searches for purpose in the queer mecca of Provincetown. As the summer season comes to a fade, he sparks an intense and unexpected romance with Maurice. Together, the two reconcile the past",31000,101
Four Daughters,2023,1h 47min,Not Rated,Documentary,7.4,Kaouther Ben Hania,"Olfa Hamrouni, Eya Chikhaoui, Tayssir Chikhaoui","Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence.",257971,107
Firebird,2021,1h 47min,R,"Biography, Drama, Romance",7.1,Peeter Rebane,"Tom Prior, Oleg Zagorodnii, Diana Pozharskaya","Firebird follows a handsome, soulful young soldier who embarks on a clandestine sexual affair with a charismatic fighter pilot on a Soviet Air Force Base at the height of 1970's Communist rule.",131966,107
The Swimmers,2022,2h 14min,PG-13,"Biography, Drama, Sport",7.4,Sally El Hosaini,"Matthias Schweighöfer, Ali Suliman, James Krishna Floyd","From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.",231578,134
The Remarkable Life of Ibelin,2024,1h 46min,PG-13,"Documentary, Animation, Biography",8.6,Benjamin Ree,"Zoe Croft, Kelsey Ellison, Ed Larkin","Mats Steen, a Norwegian gamer, died of a degenerative muscular disease at the age of 25. His parents mourned what they thought had been a lonely and isolated life, when they started receiving messages from online friends around the world.",31000,106
My Name Is Loh Kiwan,2024,2h 11min,TV-MA,"Drama, Romance",6.7,Kim Hee Jin,"Song Joong-ki, Kaan Abdullah, June Angela","After defecting from North Korea, Loh Kiwan struggles to obtain refugee status in Belgium, where he encounters a dejected woman who has lost all hope.",31000,131
Blood & Gold,2023,1h 38min,TV-MA,"Action, Drama, War",6.5,Peter Thorwarth,"Robert Maaser, Jördis Triebel, Alexander Scheer","At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.",378869,98
The Salt Path,2024,1h 55min,Not Rated,Drama,7.8,Marianne Elliott,"Gillian Anderson, Jason Isaacs, James Lance",A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.,31000,115
Unicorns,2023,1h 59min,Not Rated,Romance,7.2,Sally El Hosaini,"Ben Hardy, Jason Patel, Nisha Nayar","The story of a queer South Asian nightclub performer living a double life, and a young, single father who works as a mechanic. When they meet, a search for identity is sparked.",323940,119
Malcolm & Marie,2021,1h 46min,R,"Drama, Romance",6.6,Sam Levinson,"John David Washington, Zendaya",A director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night.,376108,106
Witchboard,2024,1h 55min,Not Rated,"Horror, Mystery",8.2,Chuck Russell,"Jamie Campbell Bower, Madison Iseman, Charlie Tahan",A re-imagining of the 1986 Horror Classic,31000,115
Jackass Forever,2022,1h 36min,R,"Documentary, Action, Comedy",6.8,Jeff Tremaine,"Johnny Knoxville, Steve-O, Chris Pontius","After 11 years, the Jackass crew is back for another crusade.",280234,96
Stage Mother,2020,1h 33min,R,"Comedy, Drama, Music",6.6,Thom Fitzgerald,"Jacki Weaver, Lucy Liu, Adrian Grenier",A conservative church choir director inherits her late son's San Francisco drag club.,119095,93
Rye Lane,2023,1h 22min,R,"Comedy, Drama, Romance",7.2,Raine Allen-Miller,"David Jonsson, Vivian Oparah, Poppy Allen-Quarmby",Two youngsters reeling from bad breakups connect over an eventful day in South London.,311462,82
Forget Me Not: Inclusion in the Classroom,2021,1h 40min,Not Rated,Documentary,8.7,Olivier Bernier,"Geraldo Rivera, Thomas Hehir, Sue Swenson","As 3-year-old Emilio prepares to start school, his family finds itself embroiled in a challenge all too common for children with disabilities - to secure the right to an inclusive education. Cornered in one of the most segregated education systems, New Yo",84,100
Ireland's Dirty Laundry,2022,1h 31min,Not Rated,Documentary,8.1,Gerry Gregg,"Teresa Doyle O'Connor, Maureen Sullivan, Betty Buckley","Built on the testimony of those who worked in Ireland's notorious Magdalene Laundries, this documentary tells the full, shocking story of a shameful system, created by the Irish State but supported by all levels of Irish society, which enslaved over 10,00",166467,91
McEnroe,2022,1h 44min,TV-MA,"Documentary, Biography, Sport",6.9,Barney Douglas,"Björn Borg, Peter Fleming, Chrissie Hynde",It follows John McEnroe as he finally tells his side of his storied career and performances on the court.,141581,104
The Boyfriend Trap,2022,Unknown,Not Rated,Romance,7.1,Ben Meyerson,"Ansley Gordon, Garrett Watson, Matt McGee","Identical twins Alice and Lacey are mistaken for each other on a retreat. They decide to go with it just for the trip, soon they realize that they may have been wrong about who and what they needed in their lives all along.",13822,Unknown
Another End,2024,2h 9min,Not Rated,"Drama, Romance, Sci-Fi",6.6,Piero Messina,"Gael García Bernal, Renate Reinsve, Bérénice Bejo","Two people who have loved each other, and continue to love each other, even after one of them dies.",31000,129
Song of Goats,2023,1h 44min,Not Rated,"Comedy, Drama, Romance",6.8,Andrzej Jakimowski,"Mateusz Kosciukiewicz, Themis Panou, Ifigeneia Tzola","Andreas arrives on a remote Greek island to sell a plot of land inherited from his uncle. But who would buy a barren, rocky field with a stone hut? In order to sell the plot Andreas has to pay off a debt his uncle ran up with Yiannis, a local farmer. But",322670,104
7vens Law,2024,1h 8min,Not Rated,Crime,9.3,Malcom Banks,"Kyan Dorcey, Eric Epps","""7vens Law"" follows Seven Gaines, whose only son is killed by a rogue cop. Forming a militant group with others facing similar losses, they seek justice, blurring the lines between justice and revenge, in a deeply divided society.",31000,68
Radical Wolfe,2023,1h 16min,Not Rated,Documentary,7.2,Richard Dewey,"Christopher Buckley, Niall Ferguson, Jon Hamm","With a distinctive style all his own, author and journalist Tom Wolfe reshapes how American stories are told.",222988,76
Leaving Paradise,2020,1h 30min,Not Rated,Documentary,6.9,Ofer Freiman,Unknown,"Cleo fulfilled his dream: to leave the big city with his wife and fifteen children, to establish a family commune on a farm in Brazil. Exploring their family-roots leads the children to discover their surprising heritage, which undermines the existence of",30000,90
MLK/FBI,2020,1h 44min,TV-PG,"Documentary, Biography, History",7,Sam Pollard,"Martin Luther King, J. Edgar Hoover, David Garrow","Based on newly declassified files, Sam Pollard's resonant film explores the US government's surveillance and harassment of Martin Luther King, Jr.",58894,104
A Photographic Memory,2024,1h 27min,Not Rated,Documentary,7.9,Rachel Elizabeth Seed,"Henri Cartier-Bresson, Bruce Davidson","A filmmaker ventures into the archives of her photographer mother to construct a personal story of love, loss, and finding someone in the work they leave behind.",31000,87
WWII Aircraft: Designed for Victory,2020,Unknown,Not Rated,"Documentary, War",7.2,Finlay Bald,David Robb,Watch as we follow the ingenuity and genius of designers from both side of the Atlantic as they manufacture planes such as the Vought XF5U and the Chance Vought flying Pancake throughout the Second World War. We investigate Winston Churchill's plans to bu,30000,Unknown
An Example of Teenage Boredom: The Movie,2022,46min,Not Rated,"Action, Comedy, Western",7.6,Lachlan Mlinaric,"William Cherry, Isaac Hutchins, Lily Hutchins","It's the time of the Wild West. No. It's the time of the late 80s. Uh. It's the time of the Present Time. Nope. Hold on. Thunder and Laughter. No. Stairs. Walking. And more stairs. No. Grass. Sky. An-Old-Man-Near-A-Tree. Oh, it's done.",91094,46
One Perfect Match,2023,1h 27min,Not Rated,Romance,7,Jo-Anne Brechin,"Merritt Patterson, Joshua Sasse, Lynn Gilmartin","When matchmaker Lucy Marks meets businessman Finn Grayson she immediately feels a spark, but when he turns up at her office as her newest client, things get complicated.",74969,87
Returning Home,2021,1h 12min,Not Rated,Documentary,8.5,Sean Stiller,Phyllis Jack-Webstad,"Skilfully intertwining narratives concerning residential school survivors and Indigenous peoples' relationship with imperiled wild Pacific salmon, Sean Stiller's stirring documentary is a revelatory testament to strength and resilience. At the heart of th",176429,72
Film About a Father Who,2020,1h 14min,Not Rated,Documentary,6.5,Lynne Sachs,"Julia Buchwald-Sachs, Ira Sachs Sr., Adam Sachs","Over a period of 35 years between 1984 and 2019, filmmaker Lynne Sachs shot 8 and 16mm film, videotape and digital images of her father, Ira Sachs Sr., a bon vivant and pioneering businessman from Park City, Utah. FILM ABOUT A FATHER WHO is her attempt to",183590,74
Sol Roth's the Audition,2020,1h 10min,Not Rated,Drama,8.4,Sol Roth,Unknown,"A man, a camera, and a ticketing clock. Sol Roth is put through the ultimate acting audition, performing back to back parts spanning genres, characters, and stories across the full gamete of human emotion.",18187,70
This Is Francis X. Bushman,2021,1h,Not Rated,Documentary,7.3,Lon Davis,"Julie Adams, Beverly Bayne, Jack Benny","An original documentary that utilizes numerous still images, never-before-seen clips to chronicle the life and career of one of the silent screen's most prolific and fascinating stars, American film actor and director, Francis X. Bushman.",252016,60
Once the Dust Settles,2020,1h 27min,Not Rated,Documentary,6.7,John Appel,Unknown,What is left after the dust settles? TOURISM: Dutch doc revisits cities devastated by disasters.,30000,87
